annee,semaine,annee_semaine
2004,1,2004_1
2004,2,2004_2
2004,3,2004_3
2004,4,2004_4
2004,5,2004_5
2004,6,2004_6
2004,7,2004_7
2004,8,2004_8
2004,9,2004_9
2004,10,2004_10
2004,11,2004_11
2004,12,2004_12
2004,13,2004_13
2004,14,2004_14
2004,15,2004_15
2004,16,2004_16
2004,17,2004_17
2004,18,2004_18
2004,19,2004_19
2004,20,2004_20
2004,21,2004_21
2004,22,2004_22
2004,23,2004_23
2004,24,2004_24
2004,25,2004_25
2004,26,2004_26
2004,27,2004_27
2004,28,2004_28
2004,29,2004_29
2004,30,2004_30
2004,31,2004_31
2004,32,2004_32
2004,33,2004_33
2004,34,2004_34
2004,35,2004_35
2004,36,2004_36
2004,37,2004_37
2004,38,2004_38
2004,39,2004_39
2004,40,2004_40
2004,41,2004_41
2004,42,2004_42
2004,43,2004_43
2004,44,2004_44
2004,45,2004_45
2004,46,2004_46
2004,47,2004_47
2004,48,2004_48
2004,49,2004_49
2004,50,2004_50
2004,51,2004_51
2004,52,2004_52
2004,53,2004_53
2005,1,2005_1
2005,2,2005_2
2005,3,2005_3
2005,4,2005_4
2005,5,2005_5
2005,6,2005_6
2005,7,2005_7
2005,8,2005_8
2005,9,2005_9
2005,10,2005_10
2005,11,2005_11
2005,12,2005_12
2005,13,2005_13
2005,14,2005_14
2005,15,2005_15
2005,16,2005_16
2005,17,2005_17
2005,18,2005_18
2005,19,2005_19
2005,20,2005_20
2005,21,2005_21
2005,22,2005_22
2005,23,2005_23
2005,24,2005_24
2005,25,2005_25
2005,26,2005_26
2005,27,2005_27
2005,28,2005_28
2005,29,2005_29
2005,30,2005_30
2005,31,2005_31
2005,32,2005_32
2005,33,2005_33
2005,34,2005_34
2005,35,2005_35
2005,36,2005_36
2005,37,2005_37
2005,38,2005_38
2005,39,2005_39
2005,40,2005_40
2005,41,2005_41
2005,42,2005_42
2005,43,2005_43
2005,44,2005_44
2005,45,2005_45
2005,46,2005_46
2005,47,2005_47
2005,48,2005_48
2005,49,2005_49
2005,50,2005_50
2005,51,2005_51
2005,52,2005_52
2006,1,2006_1
2006,2,2006_2
2006,3,2006_3
2006,4,2006_4
2006,5,2006_5
