code_adm,code_insee,annee,population
COM_F59005,59005,2006,3407
COM_F59009,59009,2006,61151
COM_F59011,59011,2006,9802
COM_F59013,59013,2006,1195
COM_F59017,59017,2006,24836
COM_F59025,59025,2006,1527
COM_F59316,59316,2006,3517
COM_F59052,59052,2006,5322
COM_F59044,59044,2006,4078
COM_F59051,59051,2006,5888
COM_F59056,59056,2006,912
COM_F59088,59088,2006,1405
COM_F59090,59090,2006,10151
COM_F59098,59098,2006,4599
COM_F59106,59106,2006,723
COM_F59346,59346,2006,3122
COM_F59128,59128,2006,1596
COM_F59133,59133,2006,1033
COM_F59146,59146,2006,3020
COM_F59143,59143,2006,7971
COM_F59195,59195,2006,559
COM_F59670,59670,2006,1319
COM_F59999,59350,2006,180165
COM_F59152,59152,2006,12107
COM_F59202,59202,2006,4507
EPCI_245900410,0,2006,1136864
COM_F59163,59163,2006,20926
COM_F59208,59208,2006,308
COM_F59173,59173,2006,1460
COM_F59193,59193,2006,2933
COM_F59196,59196,2006,1088
COM_F59220,59220,2006,16356
COM_F59201,59201,2006,512
COM_F59247,59247,2006,1483
COM_F59250,59250,2006,1945
COM_F59257,59257,2006,893
COM_F59252,59252,2006,2566
COM_F59256,59256,2006,3239
COM_F59275,59275,2006,1131
COM_F59278,59278,2006,4101
COM_F59281,59281,2006,962
COM_F59279,59279,2006,19879
COM_F59286,59286,2006,14850
COM_F59298,59298,2006,17761
COM_F59299,59299,2006,18248
COM_F59303,59303,2006,2065
COM_F59317,59317,2006,7607
COM_F59360,59360,2006,21410
COM_F59320,59320,2006,1388
COM_F59328,59328,2006,28543
COM_F59332,59332,2006,1672
COM_F59339,59339,2006,9290
COM_F59343,59343,2006,6432
COM_F59352,59352,2006,8197
COM_F59355,59355,2006,28088
COM_F59356,59356,2006,2362
COM_F59367,59367,2006,12632
COM_F59368,59368,2006,22681
COM_F59371,59371,2006,538
COM_F59378,59378,2006,38939
COM_F59386,59386,2006,9933
COM_F59470,59470,2006,2135
