id,code_insee,mjo,annee_semaine
VEL012,59350.0,152.0,2013_36
VEL014,59350.0,156.0,2013_36
VEL012,59350.0,1973.0,2013_37
VEL014,59350.0,661.0,2013_37
VEL012,59350.0,1280.0,2013_38
VEL014,59350.0,769.0,2013_38
VEL012,59350.0,1539.0,2013_39
VEL014,59350.0,1065.0,2013_39
VEL012,59350.0,1533.0,2013_40
VEL014,59350.0,992.0,2013_40
VEL012,59350.0,1162.0,2013_41
VEL014,59350.0,694.0,2013_41
VEL012,59350.0,1003.0,2013_42
VEL014,59350.0,589.0,2013_42
VEL012,59350.0,915.0,2013_45
VEL014,59350.0,470.0,2013_45
VEL012,59350.0,978.0,2013_46
VEL014,59350.0,552.0,2013_46
VEL001,59017.0,8.0,2013_47
VEL004,59152.0,113.0,2013_47
VEL012,59350.0,945.0,2013_47
VEL014,59350.0,493.0,2013_47
VEL018,59512.0,19.0,2013_47
VEL022,59599.0,29.0,2013_47
VEL023,59599.0,61.0,2013_47
VEL027,59636.0,14.0,2013_47
VEL001,59017.0,78.0,2013_48
VEL002,59090.0,35.0,2013_48
VEL004,59152.0,161.0,2013_48
VEL005,59163.0,155.0,2013_48
VEL012,59350.0,1026.0,2013_48
VEL014,59350.0,533.0,2013_48
VEL017,59508.0,40.0,2013_48
VEL018,59512.0,70.0,2013_48
VEL019,59512.0,18.0,2013_48
VEL022,59599.0,92.0,2013_48
VEL023,59599.0,87.0,2013_48
VEL024,59009.0,27.0,2013_48
VEL027,59636.0,33.0,2013_48
VEL039,59410.0,163.0,2013_48
VEL001,59017.0,79.0,2013_49
VEL002,59090.0,45.0,2013_49
VEL003,59128.0,13.0,2013_49
VEL004,59152.0,134.0,2013_49
VEL005,59163.0,136.0,2013_49
VEL006,59256.0,37.0,2013_49
VEL007,59286.0,10.0,2013_49
VEL008,59303.0,11.0,2013_49
VEL012,59350.0,984.0,2013_49
VEL014,59350.0,534.0,2013_49
VEL016,59355.0,50.0,2013_49
VEL017,59508.0,73.0,2013_49
VEL018,59512.0,70.0,2013_49
VEL019,59512.0,57.0,2013_49
VEL022,59599.0,95.0,2013_49
VEL023,59599.0,84.0,2013_49
VEL024,59009.0,28.0,2013_49
VEL027,59636.0,26.0,2013_49
VEL028,59350.0,481.0,2013_49
VEL039,59410.0,195.0,2013_49
VEL001,59017.0,71.0,2013_50
VEL002,59090.0,37.0,2013_50
VEL003,59128.0,27.0,2013_50
VEL004,59152.0,146.0,2013_50
VEL005,59163.0,130.0,2013_50
VEL006,59256.0,34.0,2013_50
VEL007,59286.0,116.0,2013_50
VEL008,59303.0,13.0,2013_50
VEL012,59350.0,958.0,2013_50
VEL014,59350.0,504.0,2013_50
VEL016,59355.0,159.0,2013_50
VEL017,59508.0,67.0,2013_50
VEL018,59512.0,67.0,2013_50
VEL019,59512.0,59.0,2013_50
VEL022,59599.0,78.0,2013_50
VEL023,59599.0,87.0,2013_50
VEL024,59009.0,23.0,2013_50
VEL027,59636.0,25.0,2013_50
VEL028,59350.0,624.0,2013_50
VEL039,59410.0,181.0,2013_50
VEL001,59017.0,76.0,2013_51
VEL002,59090.0,39.0,2013_51
VEL003,59128.0,26.0,2013_51
VEL004,59152.0,147.0,2013_51
VEL005,59163.0,147.0,2013_51
VEL006,59256.0,34.0,2013_51
