"id","nom","adresse","ville","code_insee","annee","semaine","mjo","longitude","latitude","geom"
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,36,152.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,36,156.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,37,1973.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,37,661.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,38,1280.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,38,769.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,39,1539.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,39,1065.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,40,1533.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,40,992.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,41,1162.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,41,694.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,42,1003.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,42,589.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,45,915.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,45,470.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,46,978.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,46,552.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL001,Armentières - Bd. Faidherbe,Armentières - Bd. Faidherbe,ARMENTIERES,59017,2013,47,8.0000000000,2.8743139830,50.6815700001,POINT (2.8743139829589266 50.68157003961674)
VEL004,Comines - Rue des Processions,Comines - Rue des Processions,COMINES,59152,2013,47,113.0000000000,3.0102939927,50.7610359925,POINT (3.0102939927348586 50.761036031954305)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,47,945.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2013,47,493.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL018,Roubaix - Av. des Nations Unies,Roubaix - Av. des Nations Unies,ROUBAIX,59512,2013,47,19.0000000000,3.1753529868,50.6941529966,POINT (3.1753529867730195 50.69415303604065)
VEL022,Tourcoing - Av. Allende,Tourcoing - Av. Allende,TOURCOING,59599,2013,47,29.0000000000,3.1641883317,50.7219299923,POINT (3.1641883316640307 50.721930031717555)
VEL023,Tourcoing - Rue de Roubaix,Tourcoing - Rue de Roubaix,TOURCOING,59599,2013,47,61.0000000000,3.1643330034,50.7147670066,POINT (3.1643330034323345 50.71476704603992)
VEL027,Wambrechies - Rue de Quesnoy,Wambrechies - Rue de Quesnoy,WAMBRECHIES,59636,2013,47,14.0000000000,3.0371420051,50.6954999885,POINT (3.0371420050532105 50.69550002800665)
VEL001,Armentières - Bd. Faidherbe,Armentières - Bd. Faidherbe,ARMENTIERES,59017,2013,48,78.0000000000,2.8743139830,50.6815700001,POINT (2.8743139829589266 50.68157003961674)
VEL002,Bondues - Chemin St Georges,Bondues - Chemin St Georges,BONDUES,59090,2013,48,35.0000000000,3.0838999907,50.7030370001,POINT (3.0838999906563456 50.703037039608034)
VEL004,Comines - Rue des Processions,Comines - Rue des Processions,COMINES,59152,2013,48,161.0000000000,3.0102939927,50.7610359925,POINT (3.0102939927348586 50.761036031954305)
VEL005,Croix - Avenue Flandres,Croix - Avenue Flandres,CROIX,59163,2013,48,155.0000000000,3.1522650086,50.6682969915,POINT (3.1522650085823436 50.66829703096178)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2013,48,1026.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
